時間,所要時間(分),講演タイトル,社名・団体名,部署名,役職,講演者氏名,講演概要
9:30～10:00,30,受付,,,,,
10:00～10:10,10,開会挨拶,日本スポーツ協会,企画部,部長,田中 健太,
10:10～11:00,50,スポーツテクノロジーの最新動向,スポーツテック株式会社,研究開発部,チーフエンジニア,佐藤 美咲 様,スポーツ界における最新テクノロジーの応用と今後の展望について解説します。
11:10～12:00,50,アスリートのパフォーマンス向上と栄養学,国立スポーツ科学センター,栄養科学部,主任研究員,鈴木 太郎 様,トップアスリートの栄養管理の実態と最新の研究成果について紹介します。
12:10～13:00,50,スポーツ用品の革新的素材開発,アドバンスドマテリアル大学,スポーツ工学科,教授,高橋 恵子 様,次世代のスポーツ用品に使用される新素材の開発状況と将来性について解説します。
13:00～14:20,80,（昼食）＋（休憩）,,,,,
14:20～15:10,50,スポーツビジネスの未来戦略,グローバルスポーツマネジメント株式会社,戦略企画部,執行役員,山田 隆 様,デジタル時代におけるスポーツビジネスの展開と成長戦略について議論します。
15:20～16:10,50,eスポーツの台頭と従来のスポーツとの融合,日本eスポーツ連盟,企画推進部,理事,中村 香織 様,急成長するeスポーツ市場の現状と、従来のスポーツとの共存の可能性について探ります。
16:10～17:10,60,休憩,,,,,
17:10～18:00,50,スポーツとSDGs：持続可能な未来への取り組み,スポーツ環境研究所,サステナビリティ推進部,主席研究員,伊藤 雅子 様,スポーツを通じた社会貢献と環境保護の取り組みについて、具体的な事例を交えて紹介します。
18:00～18:10,10,閉会挨拶,日本スポーツ協会,,理事長,小林 正人,
18:10～19:00,50,ネットワーキング,,,,,